YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2021,1959,PRIVATE,14,Toronto-Danforth,190 COSBURN AVE,6,47,78
2017,2021,1990,SOCIAL HOUSING,14,Toronto-Danforth,1480 QUEEN ST E,4,25,80
2017,2021,1960,PRIVATE,14,Toronto-Danforth,15 BATER AVE,3,34,75
2018,2021,1927,PRIVATE,14,Toronto-Danforth,12 BATER AVE,4,50,75
2017,2021,1965,PRIVATE,14,Toronto-Danforth,100 GAMBLE AVE,12,152,60
2017,2021,1962,PRIVATE,14,Toronto-Danforth,150 COSBURN AVE,12,153,79
2017,2021,1956,PRIVATE,14,Toronto-Danforth,130 COSBURN AVE,6,48,79
2017,2021,1950,PRIVATE,14,Toronto-Danforth,165 COSBURN AVE,6,83,69
2017,2021,1965,PRIVATE,14,Toronto-Danforth,175 COSBURN AVE,4,30,74
2017,2021,1968,PRIVATE,20,Scarborough Southwest,3207 KINGSTON RD,5,53,73
2017,2021,1960,PRIVATE,20,Scarborough Southwest,3131 EGLINTON AVE E,7,82,72
2017,2021,1964,PRIVATE,20,Scarborough Southwest,131 MINERVA AVE,6,83,84
2017,2021,1964,PRIVATE,20,Scarborough Southwest,121 MINERVA AVE,6,90,87
2017,2021,1969,PRIVATE,20,Scarborough Southwest,3161 EGLINTON AVE E,12,166,67
2017,2021,1967,PRIVATE,20,Scarborough Southwest,40 PARKCREST DR,12,100,80
2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,54 MARIGOLD AVE,4,29,81
2017,2021,1968,PRIVATE,14,Toronto-Danforth,80 GOWAN AVE,11,88,90
2017,2021,1970,TCHC,20,Scarborough Southwest,3479 ST CLAIR AVE E,8,94,58
2017,2021,1966,PRIVATE,14,Toronto-Danforth,100 GOWAN AVE,17,121,87
2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,17 RENWICK CRES,4,80,66
2017,2021,1995,SOCIAL HOUSING,14,Toronto-Danforth,137 SEARS ST,3,17,80
2017,2021,1955,PRIVATE,14,Toronto-Danforth,65 GAMBLE AVE,6,48,84
2017,2021,1989,SOCIAL HOUSING,14,Toronto-Danforth,970 EASTERN AVE,4,14,69
2017,2021,1960,PRIVATE,14,Toronto-Danforth,51 GAMBLE AVE,6,49,78
2017,2021,1972,TCHC,14,Toronto-Danforth,717 BROADVIEW AVE,8,69,94
2017,2021,1995,TCHC,14,Toronto-Danforth,1167 QUEEN ST E,5,40,77
2017,2021,1931,PRIVATE,14,Toronto-Danforth,9 TENNIS CRES,4,54,85
2017,2021,1993,TCHC,14,Toronto-Danforth,29 LOUVAIN AVE,4,51,71
2017,2021,1968,PRIVATE,13,Toronto Centre,240 WELLESLEY ST E,29,554,71
2017,2021,1950,SOCIAL HOUSING,14,Toronto-Danforth,793 GERRARD ST E,5,28,0
2017,2021,1981,PRIVATE,02,Etobicoke Centre,105 CLEMENT RD,7,195,91
2017,2021,1964,TCHC,20,Scarborough Southwest,682 WARDEN AVE,15,223,60
2017,2021,1993,SOCIAL HOUSING,14,Toronto-Danforth,1070 QUEEN ST E,5,177,86
2017,2021,1950,PRIVATE,03,Etobicoke-Lakeshore,26 ALBERT AVE,3,23,84
2017,2021,1993,TCHC,06,York Centre,750 WILSON HEIGHTS BLVD,4,79,86
2017,2021,1964,PRIVATE,20,Scarborough Southwest,2 NORTH DR,4,65,78
2017,2021,1950,PRIVATE,20,Scarborough Southwest,1641 KINGSTON RD,3,11,0
2017,2021,1950,PRIVATE,20,Scarborough Southwest,1633 KINGSTON RD,3,10,0
2018,2021,1949,PRIVATE,06,York Centre,12 ROSSEAU RD,3,11,76
2017,2021,1970,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,82
2017,2021,1992,SOCIAL HOUSING,20,Scarborough Southwest,835-841 BIRCHMOUNT RD,6,102,78
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1463 KINGSTON RD,3,14,0
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1449 KINGSTON RD,3,14,0
