_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
283825,4155277,2018,NA,1955,PRIVATE,03,Etobicoke-Lakeshore,323 PARK LAWN RD,5,48,2022-03-23,76,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,N/A,4,4,N/A,3,4,5,3,4,4,4,3,3,N/A,W0327,43.6371995411,-79.493365223,305319.61,4832805.873
283826,4331737,NA,NA,1954,PRIVATE,20,Scarborough Southwest,2511 GERRARD ST E,3,11,2022-03-23,68,Evaluation needs to be conducted in 2 years,15,3,3,4,3,3,3,N/A,3,N/A,N/A,3,3,4,4,4,4,N/A,4,3,N/A,E2033,43.6873957416,-79.2836217678,322228.491,4838404.904
283827,4156298,2018,NA,1969,TCHC,10,Spadina-Fort York,170 VANAULEY WALK,6,40,2022-03-17,64,Evaluation needs to be conducted in 1 year,18,3,3,4,2,N/A,4,3,4,3,3,3,4,3,3,3,4,3,3,3,N/A,S1023,43.651687962,-79.400557945,312805.773,4834421
283828,4153615,2017,NA,1978,TCHC,14,Toronto-Danforth,80 DANFORTH AVE,5,131,2022-03-17,74,Evaluation needs to be conducted in 2 years,19,4,3,4,4,4,4,4,4,4,N/A,3,3,3,4,3,4,4,4,4,3,S1424,43.6763304427,-79.3597559522,316092.805,4837162.489
283829,4153196,NA,NA,1910,PRIVATE,11,University-Rosedale,2 VERMONT AVE,3,16,2022-03-15,61,Evaluation needs to be conducted in 1 year,15,2,3,5,3,3,3,N/A,3,N/A,N/A,2,3,4,3,3,3,N/A,3,3,N/A,S1125,43.672241558,-79.414621827,311668.929,4836703.171
283830,4155942,2017,NA,1971,TCHC,22,Scarborough-Agincourt,2743 VICTORIA PARK AVE,15,201,2022-03-11,78,Evaluation needs to be conducted in 2 years,19,3,4,4,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,N/A,E2225,43.779266937,-79.323413406,318912.612,4848579.722
283831,4155585,2017,NA,1969,TCHC,22,Scarborough-Agincourt,2821 BIRCHMOUNT RD,12,237,2022-03-10,72,Evaluation needs to be conducted in 2 years,18,3,4,4,3,4,4,3,3,3,N/A,3,4,5,4,3,4,4,3,4,N/A,E2227,43.7985740617,-79.3051267847,320465.905,4850752.081
283832,4155573,2017,NA,1972,TCHC,20,Scarborough Southwest,40 GORDONRIDGE PL,18,421,2022-03-10,68,Evaluation needs to be conducted in 2 years,18,3,3,4,3,4,4,3,3,3,N/A,3,4,4,3,3,4,4,3,3,N/A,E2024,43.727612646,-79.251278648,324819.267,4842872.647
283833,4155566,2017,NA,1969,TCHC,20,Scarborough Southwest,675 KENNEDY RD,11,192,2022-03-07,61,Evaluation needs to be conducted in 1 year,18,3,3,3,3,3,4,3,3,N/A,3,4,2,3,3,3,3,3,4,2,N/A,E2023,43.72687441,-79.265289789,323769.245,4842812.63
283834,4155563,2017,NA,1971,TCHC,20,Scarborough Southwest,30 TEESDALE PL,24,278,2022-03-04,62,Evaluation needs to be conducted in 1 year,18,2,3,4,3,3,3,3,4,3,N/A,1,4,2,4,3,3,4,5,2,N/A,E2028,43.6970038322,-79.287792292,321889.538,4839471.448
